EGID,Official Building No,Building Status,Building Category,Building Class,Date of Construction,Year of Demolition,Surface Area of Building,Number of Floors,Heating Device Info,Record Modification Info
141165,7051,1007,1020,1122,1945,2018,267,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2019-10-24"
141166,7058,1007,1020,1122,1945,2018,272,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2019-10-24"
141167,7053,1007,1020,1122,1945,2018,267,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2019-10-24"
141174,9236,1007,1020,1122,1951,2013,267,5,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2013-11-05"
141175,9237,1007,1020,1122,1951,2013,263,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2013-11-05"
141176,9239,1007,1020,1122,1951,2013,270,6,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2013-11-05"
141177,9244,1007,1020,1122,1951,2013,240,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2013-11-05"
141182,WO02163,1007,1020,1122,1960-01,2023,230,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 859, revisionDate: 2018-11-24","createDate: 2001-11-29, updateDate: 2023-12-21"
141183,9242,1007,1020,1122,1951,2013,234,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2013-11-05"
141184,9240,1007,1020,1122,1951,2013,248,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2013-11-05"
141192,WO00771,1007,1020,1110,1923-01,2023,78,4,"heatGeneratorHeating: 7410, energySourceHeating: 7511, informationSourceHeating: 859, revisionDate: 2021-01-22","createDate: 2001-11-29, updateDate: 2023-04-12"
141193,WO00947,1007,1020,1122,1928-01,2023,175,4,"heatGeneratorHeating: 7410, energySourceHeating: 7511, informationSourceHeating: 859, revisionDate: 2021-03-19","createDate: 2001-11-29, updateDate: 2023-04-11"
141239,8088,1007,1020,1122,1950,2018,202,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2019-10-24"
141240,8090,1007,1020,1122,1950,2018,191,5,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2019-10-24"
141260,9515,1007,1020,1121,1957,2007,230,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141295,7945,1007,1020,1121,1925,2003,137,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141333,1849,1007,1020,1122,1950-01,2022,192,5,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 859, revisionDate: 2020-09-09","createDate: 2001-11-29, updateDate: 2022-05-04"
141334,1849,1007,1020,1122,1950-01,2022,171,5,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 859, revisionDate: 2020-09-09","createDate: 2001-11-29, updateDate: 2022-05-04"
141337,2218,1007,1020,1122,1965-01,2022,144,5,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 859, revisionDate: 2019-06-30","createDate: 2001-11-29, updateDate: 2022-05-04"
141341,N/A,1007,1020,1122,1919,2006,N/A,5,"heatGeneratorHeating: 7436, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141342,7483,1007,1020,1121,1894,2006,120,6,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141348,1840,1007,1020,1122,1950-01,2022,166,5,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 859, revisionDate: 2020-09-09","createDate: 2001-11-29, updateDate: 2022-05-04"
141349,1840,1007,1020,1122,1950-01,2022,165,5,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 859, revisionDate: 2020-09-09","createDate: 2001-11-29, updateDate: 2022-05-04"
141350,1846,1007,1020,1122,1950-01,2022,154,5,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 859, revisionDate: 2020-09-09","createDate: 2001-11-29, updateDate: 2022-05-04"
141352,1846,1007,1020,1122,1950-01,2022,156,5,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 859, revisionDate: 2020-09-09","createDate: 2001-11-29, updateDate: 2022-05-04"
141354,1848,1007,1020,1122,1950-01,2022,156,6,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 859, revisionDate: 2020-09-09","createDate: 2001-11-29, updateDate: 2022-05-04"
141355,1848,1007,1020,1122,1950-01,2022,156,6,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 859, revisionDate: 2020-09-09","createDate: 2001-11-29, updateDate: 2022-05-04"
141356,1844,1007,1020,1122,1950-01,2022,155,5,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 859, revisionDate: 2020-09-09","createDate: 2001-11-29, updateDate: 2022-05-04"
141357,1844,1007,1020,1122,1950-01,2022,154,5,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 859, revisionDate: 2020-09-09","createDate: 2001-11-29, updateDate: 2022-05-04"
141358,1840,1007,1020,1122,1950-01,2022,160,5,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 859, revisionDate: 2020-09-09","createDate: 2001-11-29, updateDate: 2022-05-04"
141360,WO00874,1007,1020,1122,1926-01,2023,192,6,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 859, revisionDate: 2018-11-24","createDate: 2001-11-29, updateDate: 2023-03-22"
141361,WO00875,1007,1020,1122,1926-01,2023,270,6,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 859, revisionDate: 2019-11-25","createDate: 2001-11-29, updateDate: 2023-03-22"
141381,WO00876,1007,1020,1122,1926-01,2023,191,6,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 859, revisionDate: 2019-11-25","createDate: 2001-11-29, updateDate: 2023-03-22"
141407,261WO01180,1007,1020,1110,1931,2021,141,3,"heatGeneratorHeating: 7410, energySourceHeating: 7598, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2021-11-10"
141411,8986,1007,1020,1110,1937,2003,77,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141414,8993,1007,1020,1110,1937,2003,71,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141443,8562,1007,1020,1122,1931,2013,160,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2013-11-05"
141444,8563,1007,1020,1122,1931,2013,157,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2013-11-05"
141445,8564,1007,1020,1122,1931,2013,159,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2013-11-05"
141446,8565,1007,1020,1122,1931,2015,220,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-20"
141447,8566,1007,1020,1122,1931,2015,220,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-20"
141449,1667,1007,1020,1110,1938-01,2021,64,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 859, revisionDate: 2021-08-03","createDate: 2001-11-29, updateDate: 2021-12-08"
141453,261WO00718,1007,1020,1122,1949,2020,185,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2020-06-15"
141454,261WO00718,1007,1020,1122,1949,2020,181,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2020-06-15"
141455,261WO00718,1007,1020,1122,1949,2020,185,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2020-06-15"
141461,7951,1007,1020,1121,1925,2010,110,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141462,739,1007,1020,1122,1948-01,2023,227,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 859, revisionDate: 2018-11-24","createDate: 2001-11-29, updateDate: 2023-04-12"
141463,8561,1007,1020,1122,1931,2013,191,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2013-11-05"
141464,761,1007,1020,1122,1948-01,2023,245,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 859, revisionDate: 2018-11-24","createDate: 2001-11-29, updateDate: 2023-04-18"
141465,762,1007,1020,1122,1948-01,2023,287,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 859, revisionDate: 2018-11-24","createDate: 2001-11-29, updateDate: 2023-04-12"
141470,8592,1007,1020,1122,1931,2015,164,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-20"
141471,8593,1007,1020,1122,1931,2015,167,6,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-20"
141475,8574,1007,1020,1110,1938,2013,56,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2013-11-05"
141476,8573,1007,1020,1110,1931,2013,49,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2013-11-05"
141477,8572,1007,1020,1110,1931,2013,50,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2013-11-05"
141478,8571,1007,1020,1110,1931,2013,50,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2013-11-05"
141479,8570,1007,1020,1110,1931,2013,49,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2013-11-05"
141480,8569,1007,1020,1110,1931,2013,49,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2013-11-05"
141481,8568,1007,1020,1110,1931,2013,50,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2013-11-05"
141482,8567,1007,1020,1110,1931,2013,57,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2013-11-05"
141483,N/A,1007,1020,1110,N/A,1999,N/A,2,"heatGeneratorHeating: 7431, energySourceHeating: 7530, informationSourceHeating: 869, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141485,N/A,1007,1020,1121,N/A,1999,N/A,2,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 869, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141552,8816,1007,1020,1122,1932,2008,203,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141558,7797,1007,1020,1110,1913,2008,100,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 869, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141561,7649,1007,1020,1121,1906,2007,104,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141564,N/A,1007,1020,1122,1919,1999,N/A,3,"heatGeneratorHeating: 7431, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141649,9263,1007,1020,1122,1950,2008,296,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141650,9268,1007,1020,1122,1950,2008,180,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141651,9269,1007,1020,1122,1950,2008,169,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141652,9270,1007,1020,1122,1950,2008,183,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141656,9264,1007,1020,1122,1950,2008,168,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141657,9265,1007,1020,1122,1950,2008,166,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141658,9266,1007,1020,1122,1950,2008,192,6,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141711,N/A,1007,1020,1110,N/A,1999,N/A,2,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 869, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141744,1631,1007,1020,1121,1936-01,2022,128,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 859, revisionDate: 2021-02-28","createDate: 2001-11-29, updateDate: 2022-08-17"
141770,7732,1007,1020,1122,1910,2015,131,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-07-16"
142017,9878,1007,1020,1121,2000,2004,215,3,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 869, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
142132,WO01936,1007,1020,1122,1953-01,2023,174,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 859, revisionDate: 2018-11-24","createDate: 2001-11-29, updateDate: 2023-03-22"
142133,WO01937,1007,1020,1122,1953-01,2023,173,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 859, revisionDate: 2018-11-23","createDate: 2001-11-29, updateDate: 2023-03-22"
142134,WO01938,1007,1020,1122,1953-01,2023,174,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 859, revisionDate: 2018-11-23","createDate: 2001-11-29, updateDate: 2023-03-22"
142185,8190,1007,1020,1122,1929,2009,175,6,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
142214,8202,1007,1020,1122,1928,2014,167,6,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2014-04-10"
142215,8203,1007,1020,1122,1928,2014,167,6,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2014-04-10"
142216,8204,1007,1020,1122,1928,2014,167,6,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2014-04-10"
142217,8205,1007,1020,1122,1928,2014,166,6,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2014-04-10"
142218,7279,1007,1020,1122,1896,2009,106,5,"heatGeneratorHeating: 7436, energySourceHeating: 7599, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
142267,9232,1007,1020,1122,1951,2012,233,5,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2014-10-20"
142271,WO02009,1007,1020,1122,1954-01,2022,226,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 859, revisionDate: 2021-02-28","createDate: 2001-11-29, updateDate: 2022-11-24"
142272,9233,1007,1020,1122,1951,2012,231,5,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2014-10-20"
142292,9617,1007,1020,1122,1960,2017,268,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2019-10-24"
142395,8337,1007,1020,1121,1930,2007,171,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
142396,8338,1007,1020,1121,1930,2007,178,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
142397,8341,1007,1020,1121,1930,2007,173,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
142398,8342,1007,1020,1121,1930,2007,176,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
142399,N/A,1007,1020,1122,1930,2005,N/A,3,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
142406,8717,1007,1020,1122,1932,2016,187,5,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2017-01-20"
142407,8718,1007,1020,1122,1932,2016,187,4,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2017-01-20"
142409,8721,1007,1020,1122,1932,2016,180,5,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2017-01-20"
142410,8722,1007,1020,1122,1931,2016,178,5,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2017-01-20"
142411,8723,1007,1020,1122,1931,2016,177,5,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2017-01-20"
142412,8724,1007,1020,1122,1931,2016,178,5,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2017-01-20"
142413,8725,1007,1020,1122,1932,2016,179,5,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2017-01-20"
142414,8726,1007,1020,1122,1932,2016,179,5,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2017-01-20"
142418,N/A,1007,1020,1122,1930,2005,N/A,3,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
142419,N/A,1007,1020,1122,1930,2005,N/A,3,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
142420,N/A,1007,1020,1122,1930,2005,N/A,3,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
142421,N/A,1007,1020,1122,1930,2005,N/A,3,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
142422,N/A,1007,1020,1122,1930,2005,N/A,3,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
142423,N/A,1007,1020,1122,1930,2005,N/A,3,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
142424,N/A,1007,1020,1122,1930,2005,N/A,3,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
142425,8251,1007,1020,1110,1929,2016,57,4,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2017-01-20"
142426,8252,1007,1020,1110,1929,2016,56,4,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2017-01-20"
142427,8253,1007,1020,1110,1929,2016,56,4,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2017-01-20"
142428,8254,1007,1020,1110,1929,2016,56,4,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2017-01-20"
142429,8255,1007,1020,1110,1929,2016,64,4,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2017-01-20"
142430,8605,1007,1020,1110,1931,2016,44,4,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2017-01-20"
142431,8606,1007,1020,1110,1931,2016,43,4,"heatGeneratorHeating: 7431, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2017-01-20"
